Are you sure? This order will be canceled and a new one will be created instead,Apa kamu yakin? Pesanan ini akan dibatalkan dan yang baru akan dibuat bukan
Assign Order Status to State,Menetapkan Status Pesanan ke Negara
Assign Status to State,Menetapkan Status ke Negara
Assignment Information,Informasi Tugas
At least a payment ID must be set.,Setidaknya ID pembayaran harus ditetapkan.
Authorization,Otorisasi
Authorized amount of %s.,Jumlah resmi dari%s.
Authorizing amount of %s is pending approval on gateway.,Jumlah otorisasi dari%s sedang menunggu persetujuan pada gateway.
Back,Kembali
Back to Billing Agreements,Kembali ke Perjanjian Penagihan
Back to My Orders,Kembali ke Pesanan Saya
Back to Recurring Profiles,Kembali ke Profil Berulang
Backordered,Backordered
Bestsellers,Penjualan Terbaik
Bill to Name,Bill untuk Nama
Billing,Penagihan
Billing Address,Penagihan Alamat
Billing Agreement,Perjanjian penagihan
Billing Agreement # %s,Perjanjian penagihan #%s
Billing Agreement #%s,Perjanjian penagihan #%s
Billing Agreement View,Perjanjian penagihan View
Billing Agreements,Perjanjian penagihan
Billing Last Name,Penagihan Nama terakhir
Billing ZIP Code,Penagihan ZIP Code
Buy %s for price %s,Beli%s untuk harga%s
CSV,CSV
Cancel,Membatalkan
Cancel credit memo,Batal memo kredit
Cancel invoice,Batal faktur
Cancel order,Batalkan pesanan
Canceled,Dibatalkan
Canceled order offline.,Membatalkan pesanan offline.
Canceled order online.,Pesanan yang dibatalkan secara online.
Cannot add order history.,Tidak dapat menambahkan sejarah pesanan.
Cannot create an empty shipment.,Tidak dapat membuat pengiriman kosong.
Cannot determine the field name.,Tidak dapat menentukan nama field.
Cannot do invoice for order.,Tidak bisa melakukan faktur untuk pesanan.
Cannot do shipment for order.,Tidak dapat melakukan pengiriman untuk pesanan.
Cannot get order instance,Tidak bisa mendapatkan pesanan contoh
Cannot get the order instance.,Tidak bisa mendapatkan contoh pesanan.
Cannot register an existing credit memo.,Tidak dapat mendaftarkan memo kredit yang ada.
Cannot register existing invoice,Tidak bisa mendaftar invoice yang ada
Cannot register existing shipment,Tidak bisa mendaftar pengiriman yang ada
Capture,Menangkap
Capture Amount,Tangkap Jumlah
Capture Offline,Menangkap Offline
Capture Online,Menangkap online
Capture invoice,Capture faktur
Captured amount of %s online.,Ditangkap jumlah%s online.
Capturing amount of %s is pending approval on gateway.,Jumlah menangkap%s sedang menunggu persetujuan pada gateway.
Carrier,Pembawa
Carrier/Method,Pembawa / Metode
"Change status, add comments","Mengubah status, menambahkan komentar"
"Changing address information will not recalculate shipping, tax or other order amount.","Mengubah informasi alamat tidak akan menghitung ulang pengiriman, pajak, atau jumlah pesanan lainnya."
Checkout Totals Sort Order,Checkout Total Urutan Sortir
City,Kota
Clear Shopping Cart,Batal Keranjang Belanja
Click to change shipping method,Klik untuk mengubah metode pengiriman
Close,Dekat
Closed,Tertutup
Comma-separated.,Dipisahkan koma.
Comment,Komentar
Comment Text,Komentar Teks
Comments,Komentar
Comments History,Komentar Sejarah
Company,Perusahaan
Complete,Lengkap
Configure,Konfigurasi
Configure and Add to Order,Mengkonfigurasi dan Add to Order
Contents,Isi
Continue,Terus
"Controls whether customer IP is shown in orders, invoices, shipments, credit memos.","Mengontrol apakah IP pelanggan ditunjukkan pada pesanan, faktur, pengiriman, memo kredit."
Country,Negara
Coupons,Kupon
Create,Membuat
Create New Customer,Buat Pelanggan Baru
Create New Order,Buat Orde Baru
Create New Order Status,Buat Status Orde Baru
Create New Order for %s,Buat Orde Baru untuk%s
Create New Order for %s in %s,Buat Orde Baru untuk%s di%s
Create New Order for New Customer,Buat Orde Baru untuk Pelanggan Baru
Create New Order for New Customer in %s,Buat Orde Baru untuk Pelanggan Baru di%s
Create New Status,Buat Status Baru
Create Packages,Buat Paket
Create Shipment,Buat Pengiriman
Create Shipping Label,Buat Pengiriman Label
Create Shipping Label...,Buat Pengiriman Label ...
Create new credit memo for order,Buat memo kredit baru untuk pesanan
Create new invoice for order,Membuat faktur baru untuk pesanan
Create new shipment for order,Buat pengiriman baru untuk pesanan
Create...,Buat ...
Created At,Dibuat Pada
Created billing agreement #%s.,Dibuat perjanjian penagihan #%s.
Created:,Dibuat:
Credit Memo,Memo Kredit
Credit Memo #,Memo Kredit #
Credit Memo # ,Memo Kredit #
Credit Memo #%1$s | %3$s | %2$s (%4$s),Memo kredit #% 1 $ s |% 3 $ s |% 2 $ s (% 4 $ s)
Credit Memo Comment Email Sender,Memo kredit Komentar Email Sender
Credit Memo Comment Email Template,Memo kredit Template Komentar Email
Credit Memo Comment Email Template for Guest,Memo kredit Template Komentar Email untuk Tamu
Credit Memo Comments,Memo kredit Komentar
Credit Memo Email Sender,Memo Kredit Email Sender
Credit Memo Email Template,Memo kredit Template Email
Credit Memo Email Template for Guest,Memo kredit Template Email untuk Tamu
Credit Memo Update,Memo kredit Perbarui
Credit Memo Update for Guest,Kredit Memo Pembaruan untuk Tamu
Credit Memos,Memo Kredit
Credit memo canceling problem.,Memo kredit membatalkan masalah.
Credit memo cannot be canceled.,Memo kredit tidak dapat dibatalkan.
Credit memo has been created automatically,Memo kredit telah dibuat secara otomatis
Custom Price,Kustom Harga
Custom Value,Kustom Nilai
Customer,Pelanggan
Customer Can Define Start Date,Pelanggan Bisa Tentukan Tanggal Mulai
Customer Email,Pelanggan Email
Customer Group,Kelompok pelanggan
Customer Last Name,Pelanggan Nama terakhir
Customer My Account Order Creditmemo View,Pelanggan Akun Saya Creditmemo View
Customer My Account Order History,Pelanggan Akun Saya Riwayat
Customer My Account Order Invoice View,Pelanggan Akun Saya Faktur View
Customer My Account Order Shipment View,Pelanggan Akun My Order Pengiriman View
Customer My Account Order View,Pelanggan Akun Saya Lihat
Customer Name,Nama Pelanggan
Customer\'s Current Activities,Pelanggan \ 's Kegiatan sekarang
Customs Value,Nilai Pabean
Date,Tanggal
Date Shipped,Tanggal Dikirimkan
Default Status,Status standar
Default Template,Template default
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If you see image distortion in PDF, try to use larger image","Default logo, akan digunakan dalam PDF dan HTML dokumen. <br /> (Jpeg, tiff, png) Jika Anda melihat distorsi gambar di PDF, cobalah untuk menggunakan gambar yang lebih besar"
Delete,Hapus
Delete Package,Hapus Paket
Denied the payment online.,Ditolak pembayaran online.
Deny Payment,Deny Pembayaran
Description Message,Keterangan Pesan
Discount,Diskon
Discount (%s),Diskon (%s)
Discount Amount,Jumlah diskon
Display Order ID in Header,Tampilan Order ID di Header
Edit,Mengedit
Edit Order #%s,Mengedit Pesanan #%s
Edit Order %s %s Address,Mengedit Orde%s%s Alamat
Edit Order Status,Status mengedit Pesanan
Email,Email
Email Address,Alamat Email
Email Copy of Credit Memo,Email Fotokopi Memo Kredit
Email Copy of Invoice,Email Copy Faktur
Email Copy of Shipment,Email Copy Pengiriman
Email Order Confirmation,Konfirmasi Email Orde
Enable,Memungkinkan
Enabled,Diaktifkan
Enter the billing last name and email/ZIP as in the order billing address,Masukkan nama terakhir penagihan dan email / ZIP seperti dalam alamat penagihan agar
Entered data is incorrect. Please try again.,Data yang dimasukkan tidak benar. Silakan coba lagi.
Error to Show in Shopping Cart,Kesalahan untuk Tampilkan Troli Belanja
Excel XML,Excel XML
Excl. Tax,Excl. Pajak
Expired,Kadaluarsa
Explanation,Penjelasan
Failed to cancel the billing agreement.,Gagal membatalkan kesepakatan penagihan.
Failed to create billing agreement for this order.,Gagal membuat kesepakatan penagihan untuk pesanan ini.
Failed to finish billing agreement wizard.,Gagal menyelesaikan penagihan perjanjian penyihir.
Failed to send the order email.,Gagal mengirim email pesanan.
Failed to start billing agreement wizard.,Gagal memulai penagihan perjanjian Wizard.
Failed to update the payment.,Gagal memperbarui pembayaran.
Failed to update the profile.,Gagal memperbarui profil.
Failed to void the payment.,Gagal membatalkan pembayaran.
Fetch,Mengambil
File extension not known or unsupported type in the following shipment: %s,Ekstensi file tidak diketahui atau jenis tidak didukung dalam pengiriman berikut:%s
Find Order By:,Cari Order By:
First Name,Nama Depan
From,Dari
From Name,Dari Nama
From:,Dari:
G.T. (Base),G.T. (Base)
G.T. (Purchased),G.T. (Dibeli)
General,Umum
General Information,Informasi Umum
Get Payment Update,Dapatkan Pembayaran Perbarui
Get Update,Dapatkan Pembaruan
Get shipping methods and rates,Dapatkan metode dan tarif pengiriman
Gift Message,Hadiah Pesan
Gift Message for This Order,Pesan hadiah untuk Orde ini
Gift Message for the Entire Order,Pesan hadiah untuk Seluruh Orde
Gift Message for this Order,Pesan hadiah untuk Orde ini
Gift Options,Hadiah Pilihan
Girth,Mengelilingi
Go to Home Page,Pergi ke Halaman
Grand Total,Grand Total
Grand Total to be Charged,Grand Total akan Dibebankan
Guest,Tamu
Height,Tinggi
Hide Customer IP,Sembunyikan Pelanggan IP
Hold,Memegang
Hold action is not available.,Aksi Tahan tidak tersedia.
Hold order,Agar Tahan
Home,Rumah
ID,ID
ID #,ID #
"If empty, the default description above will be used.","Jika kosong, deskripsi standar di atas akan digunakan."
"If empty, the default error above will be used.","Jika kosong, kesalahan standar di atas akan digunakan."
"If the invoice was created offline, try creating an offline creditmemo.","Jika faktur dibuat offline, cobalah menciptakan creditmemo offline."
Incl. Tax,Incl. Pajak
Information,Informasi
Initial Fee,Biaya awal
Initial Fees,Biaya awal
Initial period payment,Pembayaran periode awal
Insufficient information to create shipping label(s). Please verify your Store Information and Shipping Settings.,Informasi yang cukup untuk membuat label pengiriman . Harap verifikasi Store Informasi dan Pengiriman Pengaturan.
Invalid block: %s.,Blok tidak valid:%s.
Invalid carrier specified.,Operator tidak valid.
"Invalid draw line data. Please define ""lines"" array.","Data garis imbang valid. Silahkan mendefinisikan ""garis"" array."
Invalid entity model,Model entitas yang tidak valid
Invalid item option format.,Format pilihan item yang tidak valid.
"Invalid qty to invoice item ""%s""","Qty valid untuk faktur item ""%s"""
"Invalid qty to refund item ""%s""","Qty valid untuk mengembalikan item ""%s"""
"Invalid qty to ship for item ""%s""","Qty valid untuk kapal untuk item ""%s"""
Invalid renderer model,Model penyaji valid
Invalid request for adding product to quote.,Permintaan tidak valid untuk menambahkan produk ke kutipan.
Invalid value(s) for Qty to Ship,Nilai tidak valid  untuk Qty ke Kapal
Invoice,Faktur
Invoice #,Faktur #
Invoice # ,Faktur #
Invoice #%1$s | %2$s | %4$s (%3$s),Faktur #% 1 $ s |% $ 2 s |% 4 $ s (% 3 $ s)
Invoice #%s,Faktur #%s
Invoice Comment Email Sender,Komentar Faktur Email Sender
Invoice Comment Email Template,Komentar faktur Template Email
Invoice Comment Email Template for Guest,Faktur Komentar Template Email untuk Tamu
Invoice Comments,Faktur Komentar
Invoice Date,Tanggal Faktur
Invoice Email Sender,Faktur Email Sender
Invoice Email Template,Template Email Faktur
Invoice Email Template for Guest,Faktur Template Email untuk Tamu
Invoice Update,Faktur Perbarui
Invoice Update for Guest,Perbarui faktur untuk Tamu
Invoice and Packing Slip Design,Faktur dan Packing slip Desain
Invoice and Ship,Faktur dan Kapal
Invoice canceling problem.,Faktur membatalkan masalah.
Invoice cannot be canceled.,Faktur tidak dapat dibatalkan.
Invoice cannot be captured.,Faktur tidak dapat ditangkap.
Invoice cannot be voided.,Faktur tidak dapat dibatalkan.
Invoice capturing problem.,Masalah menangkap faktur.
Invoice void problem,Faktur batal masalah
Invoice will be created without communication with payment gateway.,Faktur akan dibuat tanpa komunikasi dengan gateway pembayaran.
Invoiced,Faktur
Invoiced:,Faktur:
Invoices,Faktur
Is Closed,Ditutup
Item,Barang
Item Status,Item Status
Item object is not specified.,Objek Item tidak ditentukan.
Item options declaration error.,Item pilihan kesalahan deklarasi.
Item ordered qty,Item memerintahkan qty
Item qty declaration error.,Item kesalahan deklarasi qty.
Items,Item
Items Invoiced,Item Faktur
Items Ordered,Item Memerintahkan
Items Refunded,Item Dikembalikan
Items Shipped,Item Dikirimkan
Items in the Package,Item di Paket tersebut
Items maximum quantity or price do not allow checkout.,Item jumlah maksimum atau harga tidak memungkinkan checkout.
Items options declaration error.,Pilihan item kesalahan deklarasi.
Items to Refund,Item untuk Pengembalian
Items to Ship,Item ke Kapal
Key,Kunci
Last Name,Nama Terakhir
Last Ordered Items,Produk terakhir Memerintahkan
Last status can\'t be unassigned from state.,Status terakhir dapat \ 't belum ditetapkan dari negara.
Length,Panjangnya
Link to the New Order,Link ke Orde Baru
Link to the Previous Order,Link ke Orde Sebelumnya
Logo for HTML Print View,Logo untuk HTML Cetak View
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo untuk dokumen HTML saja. Jika kosong, default akan digunakan. <br /> (Jpeg, gif, png)"
Logo for PDF Print-outs (200x50),Logo untuk PDF Print-out (200x50)
Make Check payable to:,Membuat Periksa hutang kepada:
Manage,Mengelola
Maximum amount available to refund is %s,Jumlah maksimum yang tersedia untuk pengembalian adalah%s
Maximum shipping amount allowed to refund is: %s,Jumlah pengiriman maksimum yang diizinkan untuk pengembalian adalah:%s
Message,Pesan
Message:,Pesan:
Minimum Amount,Jumlah minimal
Minimum Order Amount,Pesanan Jumlah Minimum
Mixed,Campur
Most Viewed,Terbanyak Dilihat
Most Viewed Products Report,Terbanyak Dilihat Produk Laporan
Move to Shopping Cart,Pindah ke Keranjang Belanja
Move to Wishlist,Pindah ke Daftar Keinginan
Multi-address Description Message,Multi-alamat Deskripsi Pesan
Multi-address Error to Show in Shopping Cart,Multi-alamat Kesalahan ke Show di Keranjang Belanja
My Orders,Pesanan saya
My Orders - Details,Pesanan saya - Detail
N/A,N / A
Name,Nama
New,Baru
New Billing Agreement,Perjanjian Penagihan baru
New Credit Memo,New Memo Kredit
New Credit Memo for Guest,Memo Kredit baru untuk Guest
New Credit Memo for Invoice #%s,Memo Kredit baru untuk Faktur #%s
New Credit Memo for Order #%s,Memo Kredit baru untuk Pesanan #%s
New Invoice,Faktur baru
New Invoice and Shipment for Order #%s,Faktur baru dan Pengiriman Order #%s
New Invoice for Guest,Faktur baru untuk Guest
New Invoice for Order #%s,Faktur baru untuk Pesanan #%s
New Order,Pesanan Baru
New Order Confirmation Email Sender,Orde Baru Konfirmasi Email Sender
New Order Confirmation Template,New Template Konfirmasi Pesanan
New Order Confirmation Template for Guest,New Template Konfirmasi Pesanan untuk Tamu
New Order RSS,Orde Baru RSS
New Order Status,New Status Pesanan
New Order for Guest,Orde Baru untuk Tamu
New Shipment,Pengiriman baru
New Shipment for Guest,Pengiriman baru untuk Guest
New Shipment for Order #%s,Pengiriman baru untuk Pesanan #%s
Newsletter Subscription,Newsletter Berlangganan
No,Tidak
No Items,Tidak ada Item
No Items To Refund,Tidak ada Produk Untuk Pengembalian
No Payment Methods,Tidak ada Metode Pembayaran
"No detail for number ""%s""","Tidak ada detail untuk nomor ""%s"""
No information available.,Tidak ada informasi yang tersedia.
No items,Tidak ada item
No order(s) were put on hold.,Tidak ada order  yang ditahan.
No order(s) were released from holding status.,Tidak ada order  dibebaskan dari statusnya memegang.
No ordered items,Tidak ada barang pesanan
No shipping information available,Tidak ada informasi pengiriman yang tersedia
Nominal Items,Nominal Produk
Nominal item can be purchased standalone only. To proceed please remove other items from the quote.,Item nominal dapat dibeli mandiri saja. Untuk melanjutkan silahkan menghapus item lainnya dari kutipan.
Nominal order registered.,Agar Nominal terdaftar.
Not Capture,Tidak Tangkap
Not Initialized,Tidak diinisialisasi
Not Notified,Tidak Diberitahu
Not enough valid data to save the parent transaction ID.,Data yang valid tidak cukup untuk menyimpan ID transaksi induk.
Notification Not Applicable,Pemberitahuan Tidak Berlaku
Notified,Diberitahu
Notify Customer by Email,Beritahu Pelanggan Lewat Email
Number,Nomor
Number of Invoiced Orders,Jumlah Pesanan faktur
Number of Orders,Jumlah Pesanan
Number of Refunded Orders,Jumlah Pesanan Dikembalikan
OK,OKE
Offline Refunded,Offline Dikembalikan
On Hold,Pada Tahan
Online Refunded,Online Dikembalikan
Order,Pesanan
Order #,Pesanan #
Order # ,Pesanan #
Order # %s,Pesanan #%s
Order # %s %s | %s,Pesanan #%s%s |%s
Order #%s,Pesanan #%s
Order #%s - %s,Pesanan #%s -%s
Order API,Agar API
Order Address Information,Agar Informasi Alamat
Order Comment,Agar Komentar
Order Comment Email Sender,Agar Komentar Email Sender
Order Comment Email Template,Agar Template Komentar Email
Order Comment Email Template for Guest,Agar Komentar Template Email untuk Tamu
Order Comments,Memesan Komentar
Order Credit Memos,Agar Kredit Memo
Order Currency:,Memesan Mata Uang:
Order Date,Tanggal Pemesanan
Order Date (%s),Urutan Tanggal (%s)
Order Date: ,Tanggal Pemesanan:
Order Date: %s,Urutan Tanggal:%s
Order Details,Detail rangka
Order Grand Total,Agar Grand Total
Order History,Pesanan Sejarah
Order History Info,Agar Info Sejarah
Order ID,Id pemesanan
Order Information,Informasi rangka
Order Invoices,Agar Faktur
Order Shipments,Agar Pengiriman
Order State,Agar Negara
Order Status,Status Pemesanan
Order Status Information,Informasi Status Pesanan
Order Statuses,Agar Status
Order Subtotal,Agar Subtotal
Order Taxes Report Grouped by Tax Rates,Agar Pajak Laporkan Dikelompokkan oleh Tarif Pajak
Order Total,Pesanan Jumlah
Order Totals,Agar Total
Order Update,Urutan update
Order Update for Guest,Agar Pembaruan untuk Tamu
Order View,Agar View
Order credit memo,Memo kredit agar
Order does not allow to be canceled.,Agar tidak memungkinkan untuk dibatalkan.
Order invoice,Agar faktur
Order is suspended as its authorizing amount %s is suspected to be fraudulent.,Agar ditangguhkan sebagai yang jumlah otorisasi%s diduga menjadi penipuan.
Order is suspended as its capture amount %s is suspected to be fraudulent.,Agar ditangguhkan sebagai yang jumlah penangkapan%s diduga menjadi penipuan.
Order object is not specified.,Objek agar tidak ditentukan.
Order saving error: %s,Memesan menyimpan kesalahan:%s
Order shipments,Agar pengiriman
Order status does not exist.,Status pesanan tidak ada.
Order status with the same status code already exist.,Status pesanan dengan kode status yang sama sudah ada.
Order was placed using %s,Agar ditempatkan menggunakan%s
Ordered,Memerintahkan
Ordered amount of %s.,Jumlah memerintahkan%s.
Ordering amount of %s is pending approval on gateway.,Jumlah memesan%s sedang menunggu persetujuan pada gateway.
Orders,Pesanan
Orders and Returns,Pesanan dan Pengembalian
Orders and Returns Search Form,Perintah dan Pengembalian Formulir Cari
Original Price,Asli Harga
Original order item that recurring payment profile correspondss to.,Item asli agar berulang profil pembayaran correspondss untuk.
PDF Credit Memos,Memo PDF Kredit
PDF Invoices,Faktur PDF
PDF Packingslips,PDF Packingslips
PDF Print-outs,PDF Print-out
PDF object is not specified.,Objek PDF tidak ditentukan.
PDF page object is not specified.,Objek halaman PDF tidak ditentukan.
PDF total model should extend Mage_Sales_Model_Order_Pdf_Total_Default,PDF Jumlah Model harus memperpanjang Mage_Sales_Model_Order_Pdf_Total_Default
Package,Paket
Package types are disregarded for USPS domestic shipments.,Jenis paket yang diabaikan untuk USPS pengiriman domestik.
Packages,Paket
Packingslip # ,Packingslip #
Paid,Dibayar
Paid Amount,Dibayar Jumlah
Parent Transaction ID,ID Transaksi Induk
Parent transaction ID must have a transaction ID.,ID transaksi orangtua harus memiliki ID transaksi.
Partial,Sebagian
Payment Failed,Pembayaran Gagal
Payment Information,Informasi Pembayaran
Payment Method,Metode Pembayaran
Payment Method Name,Cara Pembayaran Nama
Payment Method:,Metode Pembayaran:
Payment Review,Ulasan Pembayaran
Payment disallow storing objects.,Larang Pembayaran menyimpan benda-benda.
Payment transactions disallow storing objects.,Transaksi pembayaran tidak mengijinkan menyimpan benda-benda.
Payment type,Tipe pembayaran
Payment update has been made.,Update pembayaran telah dibuat.
Pending,Tertunda
Pending Payment,Tertunda Pembayaran
Period,Periode
Place Order Using Billing Agreements,Pesanan Menggunakan Perjanjian Penagihan
Placed from IP,Ditempatkan dari IP
Please Select Products to Add,Silakan Pilih Produk untuk Tambah
Please Select a Customer,Silakan Pilih Pelanggan
Please Select a Store,Silakan Pilih Store
Please check billing address information. %s,Silakan cek penagihan informasi alamat. %s
Please check shipping address information. %s,Silakan cek pengiriman informasi alamat. %s
Please define PDF object before using.,Silakan menentukan objek PDF sebelum menggunakan.
Please enter positive number in this field.,Silakan masukkan nomor positif dalam bidang ini.
Please select a valid payment method.,Silakan pilih metode pembayaran yang sah.
Please specify a shipping method.,Tentukan metode pengiriman.
Please specify a valid grid column alias name that exists in grid table.,Tentukan valid kolom kotak nama alias yang ada di meja kotak.
Price,Harga
Print,Mencetak
Print All,Cetak Semua
Print All Invoices,Cetak Semua Faktur
Print All Refunds,Cetak Semua Pengembalian
Print All Shipments,Cetak Semua Pengiriman
Print Credit Memos,Memo cetak Kredit
Print Invoice,Cetak Faktur
Print Invoices,Faktur cetak
Print Order,Print Order
Print Order # %s,Print Order #%s
Print Packingslips,Packingslips cetak
Print Refund,Cetak Refund
Print Shipment,Cetak Pengiriman
Print Shipping Label,Cetak Pengiriman Label
Print Shipping Labels,Cetak Pengiriman Label
Processing,Pengolahan
Product,Produk
Product Name,Nama Produk
Products,Produk
Products Bestsellers Report,Produk Terlaris Laporan
Products in Comparison List,Produk dalam Daftar Perbandingan
Products should be added to package(s),Produk harus ditambahkan ke paket 
Profile #%s,Profil #%s
Profile Information,Informasi Profil
Profile State,Profil Negara
Profit,Laba
Promotion Coupons Usage Report,Promosi Kupon Penggunaan Laporan
Proper payment object must be set.,Objek pembayaran tepat harus ditetapkan.
Purchase Order Number:,Pesanan Pembelian Nomor:
Purchased From,Dibeli Dari
Purchased From (Store),Dibeli Dari (Toko)
Purchased Item,Dibeli Barang
Purchased On,Dibeli Pada
Qty,Qty
Qty Invoiced,Jumlah tagihan
Qty Ordered,Jumlah Memerintahkan
Qty Shipped,Jumlah Dikirimkan
Qty To Add,Jumlah Tambah
Qty to Add,Jumlah Tambah
Qty to Invoice,Jumlah untuk Faktur
Qty to Refund,Jumlah untuk Pengembalian
Qty to Ship,Jumlah ke Kapal
Quantity Ordered,Kuantitas Memerintahkan
Quote item id is not received.,Item quote id tidak diterima.
Quote item is not loaded.,Item kutipan tidak dimuat.
Rate,Laju
Recent Orders,Pesanan baru-baru ini
Recently Compared Products,Produk baru Dibandingkan
Recently Viewed,Baru Saja Dilihat
Recently Viewed Products,Produk Baru Dilihat
Recurring Profile # %s,Berulang Profil #%s
Recurring Profile Initial Fee,Berulang Profil Biaya Awal
Recurring Profiles,Profil Berulang
Recurring Profiles (beta),Profil berulang (beta)
Reference ID,Referensi ID
Reference ID:,Referensi ID:
Refresh,Menyegarkan
Refund,Pembayaran kembali
Refund #,Refund #
Refund #%s,Refund #%s
Refund Amount,Jumlah Pengembalian Dana
Refund Offline,Refund Offline
Refund Shipping,Pengembalian Pengiriman
Refund Shipping (Excl. Tax),Pengembalian Pengiriman (Excl. Pajak)
Refund Shipping (Incl. Tax),Pengembalian Pengiriman (Termasuk. Pajak)
Refund Totals,Total pengembalian
Refunded,Dikembalikan
Refunded amount of %s offline.,Jumlah dikembalikan%s offline.
Refunded amount of %s online.,Jumlah dikembalikan%s online.
Refunds,Pengembalian
Registered a Void notification.,Terdaftar pemberitahuan Void.
Registered notification about approved payment.,Pemberitahuan Terdaftar tentang pembayaran disetujui.
Registered notification about captured amount of %s.,Pemberitahuan terdaftar sekitar jumlah ditangkap dari%s.
Registered notification about denied payment.,Pemberitahuan Terdaftar tentang pembayaran ditolak.
Registered notification about refunded amount of %s.,Pemberitahuan terdaftar sekitar jumlah dikembalikan dari%s.
Registered update about approved payment.,Update terdaftar tentang pembayaran disetujui.
Registered update about denied payment.,Update terdaftar tentang pembayaran ditolak.
Regular Payment,Regular Pembayaran
Related Orders,Pesanan Terkait
Remove,Menghapus
Remove Coupon Code,Hapus Kode Kupon
Remove tracking number,Hapus nomor pelacakan
Reorder,Menyusun ulang
Retrieve credit memo info,Mengambil info memo kredit
Retrieve credit memo information,Mengambil informasi memo kredit
Retrieve credit memo list,Ambil daftar memo kredit
Retrieve invoice info,Mengambil info faktur
